invoiceId,bookingId,totalAmount,issuedDate
INV1001,T100001,800000.0,2026-07-02
INV1002,T100002,800000.0,2026-07-02
INV1003,T100003,800000.0,2026-07-02
INV1004,T100004,800000.0,2026-07-02
INV1005,T100005,800000.0,2026-07-02
INV1006,T100005,800000.0,2026-07-02
INV1007,T100006,800000.0,2026-07-02
INV1008,T100007,800000.0,2026-07-02
INV1009,T100007,800000.0,2026-07-02
INV1010,T100008,800000.0,2026-07-02
INV1011,T100009,800000.0,2026-07-02
INV1012,T100010,800000.0,2026-07-02
INV1013,T100011,800000.0,2026-07-02
INV1014,T100012,800000.0,2026-07-02
INV1015,T100013,800000.0,2026-07-02
INV1016,T100014,800000.0,2026-07-02
INV1017,T100015,800000.0,2026-07-02
INV1018,T100016,800000.0,2026-07-02
INV1019,T100017,800000.0,2026-07-02
INV1020,T100018,800000.0,2026-07-02
INV1021,T100019,800000.0,2026-07-02
INV1022,T100020,800000.0,2026-07-02
INV1023,T100021,800000.0,2026-07-02
INV1024,T100022,800000.0,2026-07-02
INV1025,T100023,800000.0,2026-07-02
INV1026,T100024,800000.0,2026-07-02
INV1027,T100025,800000.0,2026-07-02
INV1028,T100026,800000.0,2026-07-02
INV1029,T100027,800000.0,2026-07-02
INV1030,T100028,800000.0,2026-07-02
INV1030,T100028,800000.0,2026-07-02
INV1031,T100028,800000.0,2026-07-02
INV1032,T100029,800000.0,2026-07-02
INV1033,T100030,800000.0,2026-07-02
INV1034,T100031,800000.0,2026-07-02
INV1035,T100032,800000.0,2026-07-02
INV1036,T100033,800000.0,2026-07-02
INV1037,T100034,800000.0,2026-07-02
INV1038,T100035,800000.0,2026-07-02
INV1039,T100036,800000.0,2026-07-02
INV1040,T100037,800000.0,2026-07-02
INV1041,T100038,800000.0,2026-07-02
INV1042,T100039,800000.0,2026-07-02
INV1043,T100040,800000.0,2026-07-02
INV1044,T100041,800000.0,2026-07-02
INV1045,T100042,800000.0,2026-07-02
INV1046,T100043,800000.0,2026-07-02
INV1047,T100044,800000.0,2026-07-02
INV1048,T100045,800000.0,2026-07-02
INV1049,T100046,800000.0,2026-07-02
INV1050,T100047,800000.0,2026-07-02
INV1051,T100048,800000.0,2026-07-02
INV1052,T100049,800000.0,2026-07-02
INV1053,T100050,800000.0,2026-07-02
INV1054,T100051,800000.0,2026-07-02
INV1055,T100052,800000.0,2026-07-02
INV1056,T100053,800000.0,2026-07-02
INV1057,T100054,800000.0,2026-07-02
INV1058,T100055,800000.0,2026-07-02
INV1059,T100056,800000.0,2026-07-02
INV1060,T100057,800000.0,2026-07-02
INV1061,T100058,800000.0,2026-07-02
INV1062,T100059,800000.0,2026-07-02
INV1063,T100060,800000.0,2026-07-02
INV1064,T100061,800000.0,2026-07-02
INV1065,T100062,800000.0,2026-07-02
INV1066,T100063,800000.0,2026-07-02
INV1067,T100064,800000.0,2026-07-02
INV1068,T100065,800000.0,2026-07-02
INV1069,T100066,800000.0,2026-07-02
INV1070,T100067,800000.0,2026-07-02
INV1071,T100068,800000.0,2026-07-02
INV1072,T100069,800000.0,2026-07-02
INV1073,T100070,800000.0,2026-07-02
INV1074,T100071,800000.0,2026-07-02
INV1075,T100072,800000.0,2026-07-02
INV1076,T100073,800000.0,2026-07-02
INV1077,T100074,800000.0,2026-07-02
INV1078,T100075,800000.0,2026-07-02
INV1079,T100076,800000.0,2026-07-02
