matchId,homeTeam,awayTeam,date,stadiumId
M1,Team12,Team32,2026-07-02,S1
M2,Team20,Team16,2026-07-03,S1
M3,Team23,Team27,2026-07-04,S1
M4,Team7,Team14,2026-07-05,S1
M5,Team41,Team16,2026-07-06,S1
M6,Team37,Team2,2026-07-03,S2
M7,Team10,Team49,2026-07-04,S2
M8,Team7,Team34,2026-07-05,S2
M9,Team19,Team50,2026-07-06,S2
M10,Team11,Team23,2026-07-07,S2
M11,Team11,Team18,2026-07-04,S3
M12,Team48,Team35,2026-07-05,S3
M13,Team10,Team12,2026-07-06,S3
M14,Team30,Team8,2026-07-07,S3
M15,Team16,Team37,2026-07-08,S3
M16,Team35,Team2,2026-07-05,S4
M17,Team45,Team26,2026-07-06,S4
M18,Team23,Team44,2026-07-07,S4
M19,Team50,Team37,2026-07-08,S4
M20,Team48,Team5,2026-07-09,S4
M21,Team37,Team45,2026-07-06,S5
M22,Team44,Team10,2026-07-07,S5
M23,Team16,Team37,2026-07-08,S5
M24,Team48,Team6,2026-07-09,S5
M25,Team10,Team34,2026-07-10,S5
