seatId,sectionId,row,number,status,version
SEAT1,SEC1,1,1,BOOKED,0
SEAT2,SEC1,1,2,BOOKED,0
SEAT3,SEC1,1,3,BOOKED,0
SEAT4,SEC1,1,4,BOOKED,0
SEAT5,SEC1,1,5,BOOKED,0
SEAT6,SEC1,1,6,BOOKED,0
SEAT7,SEC1,1,7,BOOKED,0
SEAT8,SEC1,1,8,BOOKED,0
SEAT9,SEC1,1,9,BOOKED,0
SEAT10,SEC1,1,10,BOOKED,0
SEAT11,SEC1,1,11,BOOKED,0
SEAT12,SEC1,1,12,BOOKED,0
SEAT13,SEC1,1,13,BOOKED,0
SEAT14,SEC1,1,14,BOOKED,0
SEAT15,SEC1,1,15,BOOKED,0
SEAT16,SEC1,1,16,BOOKED,0
SEAT17,SEC1,1,17,BOOKED,0
SEAT18,SEC1,1,18,BOOKED,0
SEAT19,SEC1,1,19,BOOKED,0
SEAT20,SEC1,1,20,BOOKED,0
SEAT21,SEC1,2,1,BOOKED,0
SEAT22,SEC1,2,2,BOOKED,0
SEAT23,SEC1,2,3,BOOKED,0
SEAT24,SEC1,2,4,BOOKED,0
SEAT25,SEC1,2,5,BOOKED,0
SEAT26,SEC1,2,6,BOOKED,0
SEAT27,SEC1,2,7,BOOKED,0
SEAT28,SEC1,2,8,BOOKED,0
SEAT29,SEC1,2,9,BOOKED,0
SEAT30,SEC1,2,10,BOOKED,0
SEAT31,SEC1,2,11,BOOKED,0
SEAT32,SEC1,2,12,BOOKED,0
SEAT33,SEC1,2,13,BOOKED,0
SEAT34,SEC1,2,14,BOOKED,0
SEAT35,SEC1,2,15,BOOKED,0
SEAT36,SEC1,2,16,BOOKED,0
SEAT37,SEC1,2,17,BOOKED,0
SEAT38,SEC1,2,18,BOOKED,0
SEAT39,SEC1,2,19,BOOKED,0
SEAT40,SEC1,2,20,BOOKED,0
SEAT41,SEC1,3,1,BOOKED,0
SEAT42,SEC1,3,2,BOOKED,0
SEAT43,SEC1,3,3,BOOKED,0
SEAT44,SEC1,3,4,BOOKED,0
SEAT45,SEC1,3,5,BOOKED,0
SEAT46,SEC1,3,6,BOOKED,0
SEAT47,SEC1,3,7,BOOKED,0
SEAT48,SEC1,3,8,AVAILABLE,0
SEAT49,SEC1,3,9,BOOKED,0
SEAT50,SEC1,3,10,BOOKED,0
SEAT51,SEC1,3,11,BOOKED,0
SEAT52,SEC1,3,12,BOOKED,0
SEAT53,SEC1,3,13,BOOKED,0
SEAT54,SEC1,3,14,BOOKED,0
SEAT55,SEC1,3,15,BOOKED,0
SEAT56,SEC1,3,16,BOOKED,0
SEAT57,SEC1,3,17,BOOKED,0
SEAT58,SEC1,3,18,BOOKED,0
SEAT59,SEC1,3,19,BOOKED,0
SEAT60,SEC1,3,20,AVAILABLE,0
SEAT61,SEC1,4,1,BOOKED,0
SEAT62,SEC1,4,2,BOOKED,0
SEAT63,SEC1,4,3,BOOKED,0
SEAT64,SEC1,4,4,BOOKED,0
SEAT65,SEC1,4,5,BOOKED,0
SEAT66,SEC1,4,6,BOOKED,0
SEAT67,SEC1,4,7,BOOKED,0
SEAT68,SEC1,4,8,BOOKED,0
SEAT69,SEC1,4,9,BOOKED,0
SEAT70,SEC1,4,10,BOOKED,0
SEAT71,SEC1,4,11,BOOKED,0
SEAT72,SEC1,4,12,BOOKED,0
SEAT73,SEC1,4,13,BOOKED,0
SEAT74,SEC1,4,14,BOOKED,0
SEAT75,SEC1,4,15,AVAILABLE,0
SEAT76,SEC1,4,16,BOOKED,0
SEAT77,SEC1,4,17,BOOKED,0
SEAT78,SEC1,4,18,BOOKED,0
SEAT79,SEC1,4,19,BOOKED,0
SEAT80,SEC1,4,20,BOOKED,0
SEAT81,SEC1,5,1,BOOKED,0
SEAT82,SEC1,5,2,BOOKED,0
SEAT83,SEC1,5,3,BOOKED,0
SEAT84,SEC1,5,4,BOOKED,0
SEAT85,SEC1,5,5,BOOKED,0
SEAT86,SEC1,5,6,BOOKED,0
SEAT87,SEC1,5,7,BOOKED,0
SEAT88,SEC1,5,8,BOOKED,0
SEAT89,SEC1,5,9,BOOKED,0
SEAT90,SEC1,5,10,BOOKED,0
SEAT91,SEC1,5,11,BOOKED,0
SEAT92,SEC1,5,12,BOOKED,0
SEAT93,SEC1,5,13,BOOKED,0
SEAT94,SEC1,5,14,BOOKED,0
SEAT95,SEC1,5,15,BOOKED,0
SEAT96,SEC1,5,16,BOOKED,0
SEAT97,SEC1,5,17,BOOKED,0
SEAT98,SEC1,5,18,BOOKED,0
SEAT99,SEC1,5,19,AVAILABLE,0
SEAT100,SEC1,5,20,BOOKED,0
SEAT101,SEC1,6,1,BOOKED,0
SEAT102,SEC1,6,2,BOOKED,0
SEAT103,SEC1,6,3,BOOKED,0
SEAT104,SEC1,6,4,BOOKED,0
SEAT105,SEC1,6,5,BOOKED,0
SEAT106,SEC1,6,6,BOOKED,0
SEAT107,SEC1,6,7,BOOKED,0
SEAT108,SEC1,6,8,AVAILABLE,0
SEAT109,SEC1,6,9,BOOKED,0
SEAT110,SEC1,6,10,BOOKED,0
SEAT111,SEC1,6,11,BOOKED,0
SEAT112,SEC1,6,12,BOOKED,0
SEAT113,SEC1,6,13,BOOKED,0
SEAT114,SEC1,6,14,BOOKED,0
SEAT115,SEC1,6,15,BOOKED,0
SEAT116,SEC1,6,16,BOOKED,0
SEAT117,SEC1,6,17,BOOKED,0
SEAT118,SEC1,6,18,BOOKED,0
SEAT119,SEC1,6,19,BOOKED,0
SEAT120,SEC1,6,20,BOOKED,0
SEAT121,SEC1,7,1,BOOKED,0
SEAT122,SEC1,7,2,BOOKED,0
SEAT123,SEC1,7,3,BOOKED,0
SEAT124,SEC1,7,4,BOOKED,0
SEAT125,SEC1,7,5,BOOKED,0
SEAT126,SEC1,7,6,BOOKED,0
SEAT127,SEC1,7,7,BOOKED,0
SEAT128,SEC1,7,8,BOOKED,0
SEAT129,SEC1,7,9,BOOKED,0
SEAT130,SEC1,7,10,BOOKED,0
SEAT131,SEC1,7,11,BOOKED,0
SEAT132,SEC1,7,12,BOOKED,0
SEAT133,SEC1,7,13,BOOKED,0
SEAT134,SEC1,7,14,BOOKED,0
SEAT135,SEC1,7,15,BOOKED,0
SEAT136,SEC1,7,16,BOOKED,0
SEAT137,SEC1,7,17,BOOKED,0
SEAT138,SEC1,7,18,BOOKED,0
SEAT139,SEC1,7,19,BOOKED,0
SEAT140,SEC1,7,20,BOOKED,0
