sectionId,name,rows
150,Khu Vực Economy 10,15
23,Khu Vực VIP 23,10
41,Khu Vực Standard 1,20
156,Khu Vực Economy 16,15
82,Khu Vực Standard 42,20
125,Khu Vực Standard 85,20
175,Khu Vực Economy 35,15
56,Khu Vực Standard 16,20
180,Khu Vực Economy 40,15
165,Khu Vực Economy 25,15
189,Khu Vực Economy 49,15
128,Khu Vực Standard 88,20
131,Khu Vực Standard 91,20
85,Khu Vực Standard 45,20
11,Khu Vực VIP 11,10
177,Khu Vực Economy 37,15
79,Khu Vực Standard 39,20
58,Khu Vực Standard 18,20
24,Khu Vực VIP 24,10
140,Khu Vực Standard 100,20
123,Khu Vực Standard 83,20
167,Khu Vực Economy 27,15
106,Khu Vực Standard 66,20
183,Khu Vực Economy 43,15
172,Khu Vực Economy 32,15
44,Khu Vực Standard 4,20
60,Khu Vực Standard 20,20
51,Khu Vực Standard 11,20
1,Khu Vực VIP 1,10
9,Khu Vực VIP 9,10
55,Khu Vực Standard 15,20
114,Khu Vực Standard 74,20
4,Khu Vực VIP 4,10
138,Khu Vực Standard 98,20
174,Khu Vực Economy 34,15
99,Khu Vực Standard 59,20
98,Khu Vực Standard 58,20
109,Khu Vực Standard 69,20
67,Khu Vực Standard 27,20
48,Khu Vực Standard 8,20
81,Khu Vực Standard 41,20
83,Khu Vực Standard 43,20
158,Khu Vực Economy 18,15
10,Khu Vực VIP 10,10
122,Khu Vực Standard 82,20
63,Khu Vực Standard 23,20
157,Khu Vực Economy 17,15
39,Khu Vực VIP 39,10
69,Khu Vực Standard 29,20
34,Khu Vực VIP 34,10
30,Khu Vực VIP 30,10
74,Khu Vực Standard 34,20
199,Khu Vực Economy 59,15
107,Khu Vực Standard 67,20
31,Khu Vực VIP 31,10
66,Khu Vực Standard 26,20
35,Khu Vực VIP 35,10
3,Khu Vực VIP 3,10
72,Khu Vực Standard 32,20
171,Khu Vực Economy 31,15
197,Khu Vực Economy 57,15
113,Khu Vực Standard 73,20
17,Khu Vực VIP 17,10
149,Khu Vực Economy 9,15
12,Khu Vực VIP 12,10
141,Khu Vực Economy 1,15
18,Khu Vực VIP 18,10
78,Khu Vực Standard 38,20
184,Khu Vực Economy 44,15
76,Khu Vực Standard 36,20
162,Khu Vực Economy 22,15
134,Khu Vực Standard 94,20
121,Khu Vực Standard 81,20
120,Khu Vực Standard 80,20
110,Khu Vực Standard 70,20
187,Khu Vực Economy 47,15
57,Khu Vực Standard 17,20
5,Khu Vực VIP 5,10
70,Khu Vực Standard 30,20
144,Khu Vực Economy 4,15
168,Khu Vực Economy 28,15
20,Khu Vực VIP 20,10
52,Khu Vực Standard 12,20
146,Khu Vực Economy 6,15
154,Khu Vực Economy 14,15
6,Khu Vực VIP 6,10
27,Khu Vực VIP 27,10
108,Khu Vực Standard 68,20
129,Khu Vực Standard 89,20
170,Khu Vực Economy 30,15
25,Khu Vực VIP 25,10
151,Khu Vực Economy 11,15
15,Khu Vực VIP 15,10
173,Khu Vực Economy 33,15
160,Khu Vực Economy 20,15
179,Khu Vực Economy 39,15
153,Khu Vực Economy 13,15
176,Khu Vực Economy 36,15
73,Khu Vực Standard 33,20
94,Khu Vực Standard 54,20
96,Khu Vực Standard 56,20
84,Khu Vực Standard 44,20
28,Khu Vực VIP 28,10
178,Khu Vực Economy 38,15
185,Khu Vực Economy 45,15
40,Khu Vực VIP 40,10
190,Khu Vực Economy 50,15
133,Khu Vực Standard 93,20
195,Khu Vực Economy 55,15
186,Khu Vực Economy 46,15
92,Khu Vực Standard 52,20
135,Khu Vực Standard 95,20
193,Khu Vực Economy 53,15
91,Khu Vực Standard 51,20
36,Khu Vực VIP 36,10
164,Khu Vực Economy 24,15
152,Khu Vực Economy 12,15
22,Khu Vực VIP 22,10
159,Khu Vực Economy 19,15
192,Khu Vực Economy 52,15
126,Khu Vực Standard 86,20
147,Khu Vực Economy 7,15
8,Khu Vực VIP 8,10
19,Khu Vực VIP 19,10
148,Khu Vực Economy 8,15
182,Khu Vực Economy 42,15
116,Khu Vực Standard 76,20
127,Khu Vực Standard 87,20
132,Khu Vực Standard 92,20
62,Khu Vực Standard 22,20
65,Khu Vực Standard 25,20
112,Khu Vực Standard 72,20
77,Khu Vực Standard 37,20
26,Khu Vực VIP 26,10
16,Khu Vực VIP 16,10
103,Khu Vực Standard 63,20
124,Khu Vực Standard 84,20
93,Khu Vực Standard 53,20
139,Khu Vực Standard 99,20
88,Khu Vực Standard 48,20
136,Khu Vực Standard 96,20
87,Khu Vực Standard 47,20
75,Khu Vực Standard 35,20
191,Khu Vực Economy 51,15
64,Khu Vực Standard 24,20
14,Khu Vực VIP 14,10
142,Khu Vực Economy 2,15
33,Khu Vực VIP 33,10
100,Khu Vực Standard 60,20
115,Khu Vực Standard 75,20
61,Khu Vực Standard 21,20
7,Khu Vực VIP 7,10
43,Khu Vực Standard 3,20
50,Khu Vực Standard 10,20
163,Khu Vực Economy 23,15
145,Khu Vực Economy 5,15
200,Khu Vực Economy 60,15
102,Khu Vực Standard 62,20
155,Khu Vực Economy 15,15
2,Khu Vực VIP 2,10
47,Khu Vực Standard 7,20
194,Khu Vực Economy 54,15
42,Khu Vực Standard 2,20
97,Khu Vực Standard 57,20
71,Khu Vực Standard 31,20
143,Khu Vực Economy 3,15
119,Khu Vực Standard 79,20
104,Khu Vực Standard 64,20
54,Khu Vực Standard 14,20
105,Khu Vực Standard 65,20
161,Khu Vực Economy 21,15
95,Khu Vực Standard 55,20
89,Khu Vực Standard 49,20
49,Khu Vực Standard 9,20
37,Khu Vực VIP 37,10
46,Khu Vực Standard 6,20
196,Khu Vực Economy 56,15
80,Khu Vực Standard 40,20
59,Khu Vực Standard 19,20
86,Khu Vực Standard 46,20
53,Khu Vực Standard 13,20
166,Khu Vực Economy 26,15
169,Khu Vực Economy 29,15
13,Khu Vực VIP 13,10
68,Khu Vực Standard 28,20
198,Khu Vực Economy 58,15
21,Khu Vực VIP 21,10
32,Khu Vực VIP 32,10
137,Khu Vực Standard 97,20
29,Khu Vực VIP 29,10
130,Khu Vực Standard 90,20
111,Khu Vực Standard 71,20
90,Khu Vực Standard 50,20
188,Khu Vực Economy 48,15
101,Khu Vực Standard 61,20
181,Khu Vực Economy 41,15
45,Khu Vực Standard 5,20
117,Khu Vực Standard 77,20
118,Khu Vực Standard 78,20
38,Khu Vực VIP 38,10
