stadiumId,name,location,capacity
S00001,Nam Dinh Arena 1,Nam Dinh,53000
S00002,Nam Dinh National Stadium 2,Nam Dinh,55500
S00003,Ho Chi Minh City Dome 3,Ho Chi Minh City,58000
S00004,Nam Dinh Park 4,Nam Dinh,49500
S00005,Can Tho Sports Complex 5,Can Tho,28500
S00006,Can Tho Arena 6,Can Tho,32500
S00007,Hue Arena 7,Hue,59000
S00008,Nha Trang Dome 8,Nha Trang,35500
S00009,Ho Chi Minh City National Stadium 9,Ho Chi Minh City,45000
S00010,Nam Dinh Park 10,Nam Dinh,21500
S00011,Ho Chi Minh City Park 11,Ho Chi Minh City,29000
S00012,Binh Duong Sports Complex 12,Binh Duong,23500
S00013,Can Tho National Stadium 13,Can Tho,72500
S00014,Hai Phong Sports Complex 14,Hai Phong,33500
S00015,Da Nang Dome 15,Da Nang,69500
S00016,Binh Duong Sports Complex 16,Binh Duong,55000
S00017,Binh Duong National Stadium 17,Binh Duong,59000
S00018,Binh Duong Sports Complex 18,Binh Duong,76000
S00019,Ho Chi Minh City Arena 19,Ho Chi Minh City,32500
S00020,Ho Chi Minh City National Stadium 20,Ho Chi Minh City,63500
S00021,Binh Duong Arena 21,Binh Duong,33000
S00022,Nha Trang Park 22,Nha Trang,29000
S00023,Can Tho Arena 23,Can Tho,60000
S00024,Nha Trang Park 24,Nha Trang,47000
S00025,Nha Trang National Stadium 25,Nha Trang,21000
S00026,Hue Sports Complex 26,Hue,18000
S00027,Hanoi Sports Complex 27,Hanoi,65500
S00028,Da Nang Sports Complex 28,Da Nang,25500
S00029,Quy Nhon Park 29,Quy Nhon,61000
S00030,Hue Park 30,Hue,15500
S00031,Ho Chi Minh City National Stadium 31,Ho Chi Minh City,77000
S00032,Da Nang Park 32,Da Nang,17500
S00033,Can Tho Park 33,Can Tho,51000
S00034,Da Nang Dome 34,Da Nang,23500
S00035,Hanoi Sports Complex 35,Hanoi,39000
S00036,Hanoi Sports Complex 36,Hanoi,29000
S00037,Hai Phong National Stadium 37,Hai Phong,38000
S00038,Binh Duong Dome 38,Binh Duong,79000
S00039,Nam Dinh Arena 39,Nam Dinh,75500
S00040,Hai Phong Arena 40,Hai Phong,79000
S00041,Da Nang Dome 41,Da Nang,16500
S00042,Da Nang Sports Complex 42,Da Nang,66500
S00043,Hue Arena 43,Hue,32500
S00044,Da Nang National Stadium 44,Da Nang,40000
S00045,Hanoi Dome 45,Hanoi,29500
S00046,Hai Phong Dome 46,Hai Phong,38000
S00047,Nha Trang Arena 47,Nha Trang,29500
S00048,Hanoi Arena 48,Hanoi,41000
S00049,Can Tho Sports Complex 49,Can Tho,71500
S00050,Ho Chi Minh City Sports Complex 50,Ho Chi Minh City,38000
S00051,Binh Duong Dome 51,Binh Duong,59500
S00052,Binh Duong Sports Complex 52,Binh Duong,76500
S00053,Hanoi National Stadium 53,Hanoi,72500
S00054,Nha Trang Arena 54,Nha Trang,53000
S00055,Nha Trang National Stadium 55,Nha Trang,22000
S00056,Nam Dinh Dome 56,Nam Dinh,37500
S00057,Can Tho Dome 57,Can Tho,54500
S00058,Binh Duong National Stadium 58,Binh Duong,40000
S00059,Nam Dinh Arena 59,Nam Dinh,31500
S00060,Hanoi Dome 60,Hanoi,15000
S00061,Binh Duong Park 61,Binh Duong,60000
S00062,Hai Phong Sports Complex 62,Hai Phong,43500
S00063,Ho Chi Minh City Sports Complex 63,Ho Chi Minh City,56000
S00064,Can Tho National Stadium 64,Can Tho,62000
S00065,Nha Trang Park 65,Nha Trang,35500
S00066,Hue Sports Complex 66,Hue,41500
S00067,Nha Trang Park 67,Nha Trang,23500
S00068,Hai Phong Dome 68,Hai Phong,58500
S00069,Hue Arena 69,Hue,55500
S00070,Nam Dinh Sports Complex 70,Nam Dinh,41500
S00071,Binh Duong National Stadium 71,Binh Duong,35000
S00072,Nha Trang Arena 72,Nha Trang,43000
S00073,Nam Dinh Park 73,Nam Dinh,58000
S00074,Can Tho Dome 74,Can Tho,44000
S00075,Quy Nhon Arena 75,Quy Nhon,48500
S00076,Quy Nhon Arena 76,Quy Nhon,58000
S00077,Ho Chi Minh City Sports Complex 77,Ho Chi Minh City,49000
S00078,Nam Dinh Sports Complex 78,Nam Dinh,21000
S00079,Hai Phong Sports Complex 79,Hai Phong,29500
S00080,Hai Phong Arena 80,Hai Phong,16500
S00081,Hanoi Arena 81,Hanoi,79500
S00082,Quy Nhon Park 82,Quy Nhon,70500
S00083,Ho Chi Minh City Dome 83,Ho Chi Minh City,42000
S00084,Nam Dinh Arena 84,Nam Dinh,62000
S00085,Hue Dome 85,Hue,41000
S00086,Hai Phong Arena 86,Hai Phong,58000
S00087,Hanoi National Stadium 87,Hanoi,66000
S00088,Hue Arena 88,Hue,26500
S00089,Binh Duong Dome 89,Binh Duong,18500
S00090,Binh Duong Arena 90,Binh Duong,75000
S00091,Ho Chi Minh City Dome 91,Ho Chi Minh City,23500
S00092,Quy Nhon Park 92,Quy Nhon,79500
S00093,Binh Duong Park 93,Binh Duong,36000
S00094,Quy Nhon Park 94,Quy Nhon,68500
S00095,Binh Duong Dome 95,Binh Duong,69500
S00096,Binh Duong Dome 96,Binh Duong,74000
S00097,Da Nang Dome 97,Da Nang,44500
S00098,Nha Trang Arena 98,Nha Trang,70000
S00099,Nha Trang Park 99,Nha Trang,47000
S00100,Hai Phong Sports Complex 100,Hai Phong,44000
S00101,Ho Chi Minh City Sports Complex 101,Ho Chi Minh City,30500
S00102,Nha Trang Sports Complex 102,Nha Trang,36000
S00103,Binh Duong National Stadium 103,Binh Duong,24000
S00104,Da Nang Arena 104,Da Nang,40000
S00105,Da Nang Arena 105,Da Nang,19000
S00106,Hue Dome 106,Hue,36500
S00107,Binh Duong Dome 107,Binh Duong,42000
S00108,Hanoi Arena 108,Hanoi,69500
S00109,Hue Dome 109,Hue,74500
S00110,Nam Dinh National Stadium 110,Nam Dinh,71000
S00111,Nam Dinh Dome 111,Nam Dinh,46500
S00112,Hanoi Sports Complex 112,Hanoi,34500
S00113,Hue Dome 113,Hue,50500
S00114,Binh Duong Park 114,Binh Duong,74000
S00115,Hai Phong Dome 115,Hai Phong,29500
S00116,Nha Trang Dome 116,Nha Trang,47000
