transactionId,ticketId,fanId,amount,paymentMethod,status
TR1,T1,FAN19362,300000.0,CASH,SUCCESS,2026-07-03T02:00:17.9200792
TR2,T2,FAN19111,800000.0,ONLINE,CONFIRMED,2026-07-03T02:00:17.9210894
TR3,T3,FAN14663,300000.0,CASH,SUCCESS,2026-07-03T02:00:17.9210894
TR4,T4,FAN41248,800000.0,ONLINE,CONFIRMED,2026-07-03T02:00:17.9210894
TR5,T5,FAN29557,300000.0,CASH,SUCCESS,2026-07-03T02:00:17.9210894
TR6,T6,FAN33393,800000.0,ONLINE,CONFIRMED,2026-07-03T02:00:17.9210894
TR7,T7,FAN30212,300000.0,CASH,SUCCESS,2026-07-03T02:00:17.9210894
TR8,T8,FAN36900,800000.0,ONLINE,CONFIRMED,2026-07-03T02:00:17.9210894
TR9,T9,FAN12855,300000.0,CASH,SUCCESS,2026-07-03T02:00:17.921606
TR10,T10,FAN38490,800000.0,ONLINE,CONFIRMED,2026-07-03T02:00:17.921606
TR11,T11,FAN13886,300000.0,CASH,SUCCESS,2026-07-03T02:00:17.921606
TR12,T12,FAN8546,800000.0,ONLINE,CONFIRMED,2026-07-03T02:00:17.921606
TR13,T13,FAN46191,300000.0,CASH,SUCCESS,2026-07-03T02:00:17.921606
TR14,T14,FAN14935,800000.0,ONLINE,CONFIRMED,2026-07-03T02:00:17.921606
TR15,T15,FAN39392,300000.0,CASH,SUCCESS,2026-07-03T02:00:17.921606
TR16,T16,FAN15744,800000.0,ONLINE,CONFIRMED,2026-07-03T02:00:17.921606
TR17,T17,FAN31652,300000.0,CASH,SUCCESS,2026-07-03T02:00:17.921606
TR18,T18,FAN25358,800000.0,ONLINE,CONFIRMED,2026-07-03T02:00:17.921606
TR19,T19,FAN37785,300000.0,CASH,SUCCESS,2026-07-03T02:00:17.921606
TR20,T20,FAN19602,800000.0,ONLINE,CONFIRMED,2026-07-03T02:00:17.921606
TR21,T21,FAN11463,300000.0,CASH,SUCCESS,2026-07-03T02:00:17.921606
TR22,T22,FAN20794,800000.0,ONLINE,CONFIRMED,2026-07-03T02:00:17.921606
TR23,T23,FAN43849,300000.0,CASH,SUCCESS,2026-07-03T02:00:17.921606
