Mechanism,TotalRequests,ThreadPool,Successful,Failed,DoubleBookings,DoubleBookingRate(%),ExecutionTime(ms),Throughput(ops/sec)
NONE,100,100,50,50,0,0.00,28,3571.43
SYNCHRONIZED,100,100,50,50,0,0.00,6,16666.67
FILE_LOCK,100,100,50,50,0,0.00,7,14285.71
OPTIMISTIC,100,100,50,50,0,0.00,7,14285.71
NONE,500,100,50,450,0,0.00,5,100000.00
SYNCHRONIZED,500,100,50,450,0,0.00,6,83333.33
FILE_LOCK,500,100,50,450,0,0.00,6,83333.33
OPTIMISTIC,500,100,50,450,0,0.00,6,83333.33
NONE,1000,100,50,950,0,0.00,9,111111.11
SYNCHRONIZED,1000,100,50,950,0,0.00,8,125000.00
FILE_LOCK,1000,100,50,950,0,0.00,7,142857.14
OPTIMISTIC,1000,100,50,950,0,0.00,8,125000.00
